Above	Mub
Glass	Zahim
Gloom	Muzug
Gloom	Orsar
Glove	Dorashak
Glow	Kulamak
Glue	Kaurash
Gnaw	Brogat
Goat	Dagri
Goblin	Kapul
Gold	Art
Gong	Daul
Good	Mir
Gore	Gore
Gorge	Plaksom
Gorse	Forzunk
Gouge	Luk
Grab	Za
Grabe	Vor
Granite	Shakrop
Grasp	Kap
Grasp	Rok
Grass	Bar
Great	Bubhosh
Great	Fha
Great	Mad
Greed	Lakim
Green	Balorat
Green	Gilbat
Greenery	Gith
Grey	Gra
Grey	Murg
Grey	Murm
Grim	Manorsham
Grind	Blug
Grindstone	Gur-maporfas
Grit	Zal
Grit	Zurr
Groan	Vatog
Grove	Pulath
Growl	Hungrog
Grub	Grub
Gruesome	Rakothas
Guard	Rog
Guard	Rogtar
Guide	Udahok
Gust	Pu
Gut	Zorr
Habit, Bad	Ovani
Hag	Shatraug
Hail	Broshan
Hair	Flok
Hair	Kaum
Halberd	Patarshan
Half	Gism
Hall	Hajat
Hammer	Kokan
Hammer	Magath
Hand	Doram
Hang	Virr
Hangover	Zoza-marz
Hard	Gurat
Harm	Dam
Harrass	Hrja
Harsh	Hazt
Hate	Hatur
Hate	Urro
Hatred	Illska
Hatred	Urrogat
Haunt	Nidik
Hawk	Girakun
Hay	Bar
Head	Kok
Head	Kri
Headman	Krifaus
Heal	Mikog
Heal	Sharog
Heap	Grumbull
Heap	Kup
Heap	Tok
Heap	Tub
Heap	Turr
Hear	Daggog
Heart	Zemar
Heat	Naxotas
Heath	avadh
Heather	Marraun
Heavy	Rand
Hedgehog	Uruak
Hell	Skator
Helmet	Parkronar
Helper	Gagna
Herald	Kasnok
Herb	Baraushat
Herd	Graug
Herd	Tuf
Here	Katu
Hide	Mushof
High (adjective)	Nalt
High (suffix)	Hai
Hill	Kodar
Hill	Suk
Hillock	Kodraun
Hillock	Kodraz
Him	Ta
Hit	Bi
Hit	Hogg
Hit	Rraf
Hoard	Grumbull
Hog	Dorut
Hold, Held	Mabaj
Hold, Held	Rrok
Hole	Baur
Hole	Ronk
Hole	Vraum
Hollow	Grop
Hollow	Zhavarr
Holly	Prrall
Home	Votar
Honey	Magalt
Hoof	Thundar
Hook	Drop
Hook	Gank
Hook	Krab
Horn	Bri
Horrible	Nagithas
Horrible	Timorsham
Horror	Shemat
Horse	Kal
Hot	Nazot
Hour	Sahat
House	Shatap
Howl	Ulurl
Huge	Stor
Hunger	U
Hunt	Gajup
Hunter	Gajutar
Hurl	Flak
Hurl	Hud
Hurt	Daumab
Hurt	Skagza
Hut	Kasol
Ice	Akul
Imp	Dagalush
In	Ishi
In	Na
Infant	Foshan
Infantry	Kambasor
Inner	Votauk
Insect	Viz
Insult	igu
Insulting	Gis
Invention	Shapauk
Iron	Hokur
Iron	Jarn
Iron	Ong
Island	Ugadhol
Ivory	Fauldush
Jagged	Thopur
Jar	Vorb
Jaw	Korlash
Jaw	Noful
Jeer	Parkol
Jeer	Parkosh
Jewel	Zahovar
Jug	Kanat
Kettle	Kis
Key	Kilos
Kick	Shakolam
Kill	Drep(a)
Kill	Mabus
Kill	Vras
Knife	Hnifur
Knife	Thauk
Knight	Bujar
Labor	Pun
Lack	Ekla
Ladder	Shakalaz
Lake	Karmaz
Lame	Haltz
Lance	Hoshat
Lance	Shatauz
Land	Tok
Land (nation)	Uzg
Lantern	Fanar
Lash	Frushkul
Last	Jundaut
Last	Mabram
Lazy	Lug
Lead	Lapus
Leaf	Flot
League	Zabislaw
Leaper	Shiruk
Leather	Lakur
Ledge	Buz
Left	Majat
Leg	Kamb
Leg	Shal
Legend	Pral
Leper	Zigibanauk
Lie	Reg
Light	Draut
Lion	Latagu
Liquor	Ambor
Little	Sma
Little	Vogal
Living	Gajal
Lock	Brav
Log	Karku
Log	Kung
Long	Gujat
Look-out	Voshatraum
Lord	Goth
Lord	Goth
Lord	Zot
Loud	Zanalt
Low	Ul
Luck	Shorat
Lump	Lamosh
Lure	Nudil
Lust	Opash
Lust	Vosu
Lustful	Opashum
Lustful	Voskor
Mace	Shakop
Mad	Trenot
Magical	Laga
Maiden	Vajaz
Maim	Gimtog
Make	Baj
Malice	Illfysi
Mallet	Kopan
Man	Bur
Man	Najor
Man (human)	Shara
Manure	Aburzgur
Many	Shum
Mark	Shon
Marked	Shanum
Market	Trog
Marksman	Pushaktar
Marsh	Mokal
Massacre (verb)	Thor
Massive	Valaumsham
Master	Goth
Master	Goth
Master	Zot
Mate (noun)	Shok
Mattock	Shat
Maze	Humbor
Meal	Gil
Meat	Maush
Melt	Shakrig
Mercenary	Pagamarras
Mercury	Zahuv
Metal	Madom
Middle	Mos
Midnight	Mosnat
Milk	Kumashat
Mind	Hugi
Mine	Zo
Minstrel	Kangtar
Mire	Balt
Mire	Losh
Miserable	Vesall
Mist	Migul
Moan	Gimog
Mole	Urauth
Molten	Shakraum
Money	Hola
Money	Par
Monster	Flagz
Monster	Katala
Monster	Kulshodar
Monstrous	Pakon
Moon	Han
Moonlight	Drautran
Moor	Bishuk
More	Ma
Morning	Mang
Morsel	Kjani
Mortal	Matuurz
Mortar	Aurok
Mortar	Shator
Mould	Muk
Mound	Tok
Mound	Torr
Mountain	Mal
Mountain Pass	Zagh
Mouth	Goj
Muck	Bajage
Mud	Balt
Murderer	Thrug
Murderers	Thrugrim
Mushroom	Kapurd
Music	Kang
Music	Kangtaum
Mute	Pagoj
Mystic	Andartar
Mystic	Vogaumtar
Nail	Gozad
Nail	Nagli
Narrow	Nagushat
Nasty	Korut
Nation	Komab
Nausea	Velgja
Near	Afar
Neck	Kadaf
Necklace	Girdan
Necromancer	Par-vadokunaur
Necromancy	Di-Vadokunvot
Needle	Gilpan
Neighbour	Fuki
Nest	Kordh
Net (verb)	Kaprit
Never	Kurr
New	Rau
Newly	Raushatas
Night	Burz
Night	Nat
Nightshade	Madargon
Nine	Krith
No	Nar
Noise	Zhurm
Noisey	Zhurmat
Nomad	Shatogtar
Noon	Mosdaut
North	Vor
North	Voraut
Nose	Hund
Notch	Gadhe
Nothing	Asgaja
Numb	Dofna
Nut	Ar
Nut	Kokar
Oak	Dushak
Oats	Tarshan
Obscenity	Nadoht
Occult	Fashot
Of	Ob
Offal	Gahuta
Official	Zurtar
Ogre	Drangu
Oil	Vaj
Oil	Voj
Old	Plak
Old	Vitar
Old (suffix)	Kuu
Old man	Sharku
On	Mab
On	Parmab
One	Ni
One (The)	Ash
Only	Tug
Open	Hap
Open	Kaul
Orb	Shuk
Orb	Top
Orc	Uruk
Orc (slave)	Snaga
Orgy	Shafrenaum
Out	Jashat
Outlaw	Arataus
Oven	Furr
Owl	Kukumak
Ox	Ka
Pain	Daumab
Pain	Hrizg
Pale	Zaboht
Pan	Kus
Pan	Taugan
Panic	Lomor
Parent	Paraun
Pass	Kaf
Path	Rrug
Path	Shatog
Pattern	Lajil
Paving	Pilak
Peak	Drop
Peak	Thop
Peat	Torb
Peg	Huth
People	Hai
Person	Vot
Perversion	Mubrapshat
Pest	Shataz
Pewter	Kalaj
Phantom	Lub
Phantom	Lugat
Pick (axe)	Kazam
Pickle	Tursh
Pig	Buub
Pig	Gris
Pig	Thi
Pigeon	Plumub
Pikestaff	Patarshan
Pillage	Plakaut
Pillar	Shatul
Pimple	Kolbis
Pin	Gilpan
Pincers	Dan
Pine	Brodh
Pine	Paush
Pinnacle	Kulm
Pinnacle	Thop
Piss	Shurr
Pit	Drop
Pitch	Sor
Pitfall	Kurth
Pitiful	Bag
Place	Vend
Plague	Murtag
Plains	Rafshat
Plank	Dhog
Plank	Drras
Plant	Baum
Plough	Parmend
Pluck	Kapus
Plunder	Plakis
Poison (noun)	Eitur
Poison (noun)	Holm
Poison (verb)	Eiturir
Poison (verb)	Holmoj
Pond	Hurdh
Pond	Polog
Pony	Kalush
Pool	Laukan
Portal	Jum
Portcullis	Traun-zebraut
Pot (large)	Shatamub
Pouch	Kulot
Poultry	Shapez
Pounce	Varsulom
Power	Fuk
Power	Orka
Powerful	Fukaush
Powerful	Mattugur
Pray	Lutom
Preserve	Mubaj
Preserve	Ruj
Prey	Gujah
Pride	Miburr
Prison	Burg
Protect	Maprog
Pull	Hoq
Pulses	Groshat
Pump	Tulumub
Punch	Grushat
Punish	Danoj
Purple	Vajolk
Pus	Golb
Push	Satig
Quagmire	Dy(s)
Quagmire	Lom
Quagmire	Lum
Quail	Shukurtaz
Quarry	Grroll
Quarry	Guror
Queen	Mabrotnosh
Rabbit	Kunol
Rack	Grazadh
Rag	Lock
Rag	Rrock
Rage	Gnyja
Rage	Sharohom
Rage	Tarbohom
Ragged	Lockman
Ragged	Zholan
Raid	Sulmog
Rain	Shau
Ram	Dash
Rampart	Maprojit
Ransom	Shaparbalaum
Rape	Rramab
Raven	Korb
Ravine	Plaskom
Raw	Papig
Raze	Shoshog
Reap	Korr
Rear	Prapsam
Rebel	Karingrautas
Recess	Skut
Recreation	Klodh
Red	Kuku
Red	Raugz
Reduce	Voglog
Reed	Zungath
Refuge	Stroh
Reign	Mabrotnog
Relic	Mabotun
Repel	Shaporr
Reptile	Shatarpi
Revel	Dafar
Revenge	Hak
Revenge	Shapag
Revile	Skamma
Rib	Braun
Rich	Pasun
Ride	Bartom
Ridge	Varg
Right	Dath
Rim	Ana
Rim	Buz
vRing (noun)	Nazg
Ring (noun)	Unaz
Ring (verb)	Bi
Ringwraith	Nazgul
Riot	Rramug
Rip	Shakirr
Rise	Nagraufom
Rite	Kromtaum
Ritual	Kaushatar
River	Lum
Road	Rrug
Road	Ud
Roar	Bukot
Roast	Pik
Robber	Raendi
Robe	Potak
Rock	Shakamub
Rod	Loz
Rod	Purtok
Roof	Pulaz
Room	Od
Root	Ranaz
Rope	Gajalm
Rope	Lautar
Rot	Kalbasaun
Rouge	Kaugzi
Rough	Ashpar
Rude	Okurt
Ruin (noun)	Garmadh
Ruin (verb)	Shakatrog
Rule	Durb
Rule	Zotnog
Ruler	Durub
Run	Rend
Run	Vrapog
Runner	Rendas
Rut	Vi
Sack	Thos
Sacrifice	Fli
Saddle	Shal
Salt	Kraup
Sand	Rar
Sand	Shurr
Saw (noun)	Sharr
Scabbard	Klaf
Scar	Nujol
Scimitar	Jatagan
Scimitar	Pal
Scold	Skamma
Scout	Girmus
Scrap	Cop
Scream	Bartas
Screech	Karkas
Scroll	Lamosh
Scrub (noun)	Shakurr
Sea	Dot
Season	Staun
Secret	Jishotasaun
See	Shof
Seed	Far
Sergeant	Drartul
Sergeant	Rroshatar
Serpend	Gajarpan
Servant	Sharbtur
Shadow	Burguul
Shadow	Hi
Shallow	Gokat
Shallow	Skugga
Sharp	Muproft
Shave	Rruj
Shear	Koth
Sheep	Dol
Shell	Lavor
Shield	Skut
Shine	Shakalakog
Ship	Lundar
Shoot	Kallog
Shout	Bartas
Shout	Kjaftur
Shovel	Kag
Shovel	Lopat
Shriek	Sokali
Shut	Mabull[um]
Sick	Samund
Sick	Sjuk
Siege	Shatorothaum
Sight	Pam
Sign	Shen
Silence	Hoshat
Silver	Zubardh
Sing	Kandog
Sink	Midus
Sit	Rrau
Skull	Kafak
Skull	Rrashat
Skull	Rum
Sky	Kil
Slash (noun)	Krirog
Slash (verb)	Krir
Slate	Pafuk
Slave	Snaga
Slay	Vuras
Sledge	Kilosh
Sleep (noun)	Gajum
Sleep (verb)	Flo
Sling	Flakas
Slipper	Hal
Small	Vogal
Smell	Marr-ora
Smoke	Tum
Smoky	Tumat
Snake	Gajarpan
Snap	Kapus
Snare	Grak
Snare	Kurth
Snare	Lak
Sneak	Vaudhom
Snot	Kurr
Snow	Bor
Snowstorm	Shatargatbor
Soak	Gull
Sodomy	Butharog
Soil	Tok
Soldier	Uruk
Soldier	Ushatar
Son	Baur
Soot	Bloz
Sorcery	Dush
Sound	Za
Sour	Tharbat
South	Jug
Sow	Dos
Spark	Stauki
Speak	Flas
Spear	Hashat
Spear	Patarshan
Spear	Shati
Speech	Ta-folun
Spew	Vil[un]
Spice	Bulmos
Spider	Moraumang
Spike	Maj
Spike	Thumb
Spirit	Frum
Spit	Pushatig
Spoil	Praush
Sport	Dafrim
Spring (noun)	Prandavor
Spur	Mamuz
Spy	Njoshari
Spy	Vozagog
Squat	Huka
Squeak	Kis
Squirrel	Kautar
Staff	Shakop
Stag	Dre
Stagnant	Amul
Stair	hakal
Stalactite	Hoj-gur
Stalagmite	Rumab-gur
Star	Ulurag
Star	Vir
Stare	Gon(a)
Statue	Pomon[dog]
Steal	Vidul
Steam	Avul
Steel	Golnauk
Step	Prak
Stew	Jan
Stick (verb)	Nugis
Stile	Kapargil
Sting	Kafshog
Sting	Thumbog
Stitch	Krop
Stockade	Pauta
Stomach	Luguth
Stone	Gund
Stone	Gur
Stonemason	Gurgendas
Stony	Gurat
Stop	Nadal
Store	Hambar
Store	Mabaj
Storm	Furtun
Storm	Rufan
Storm	Shatargat
Storm	Stuh
Straight	Drit
Strangle	Mubus
Strap	Rus
Straw	Kashat
Stream	Lumbogal
Stream	Pru
Stream	Rak
Strong	Fukisham
Strong	Ofl(s)
Strongest	Mundas
Stronghold	Kala
Stump	Karku
Stun	Hutog
Stupid	Marr
Subdue	Pushtog
Sun	Dil
Sunlight	Drautdil
Surrender	Dorzog
Swan	Milom
Swarm	Kraun
Swarthy	Zoshakan
Swear	Malkog
Sweet	Ambal
Swell	Frijat
Swill	Shaplag
Swim	Notog
Swine	Dorr
Swing	Ladun
Swing	Luj
Sword	Hanhar
Sword	Kordh
Sword	Shapat
Swordsman	Kordatar
Syphilis	Frangiz
Table	Triz
Tail	Baushat
Take	Marr
Talisman	Hajmali
Tall	Gajat
Tall	Nalt
Tallow	Kajam
Tallow	Undur
Talon	Krupu
Tar	Katran
Target	Kak
Target	Kalaum
Taste	Shigog
Tattoo (noun)	Larzaum
Tattoo (verb)	Larzog
Tear	Graus
Tear	Karg
Tempest	Murlat
Temple	Faltor
Temple	Hinor
Tent	Kadar
Terrible	Timorsham
Terrify	Timorog
Terrify	Tremab
Terrifying	Timorsham
Terrifying	Tremabsham
Territory	Trov
Terror	Ognir
Terror	Timor
Terror	Tremab
That	Ajog
That	Alag
Them	Tak
Them	Tul
Them (suffix)	Ul
There	At
There	Atigat
Thick	Trash
Thicket	Shakurr
Thief	Vajodhar
Thin	Hol
Thirst	Otugat
Thirsty	Otusham
Thorn	Gaddur
Thorn	Gajemab
Three	Gakh
Throat	Fut
Throne	Soli
Throne	Uliima
Throw	Hodh
Throw	Hudh
Throw	Kasta
Thrust	Shati
Thug	Zuzar
Thumb	Pulkir
Thunder	Bumbullaum
Tight	Pausuk
Timber	Dru
Time	Koh
Tin	Kalag
Tithe	Dhit
To (preposition)	U
Tongue	Gujab
Tool	vegal
Tooth	Dhamab
Top	Maj
Torch	Paushatar
Torment	Nugakmog
Torrent	Sho
Torture	Mundog
Totem	Naushan
Totem	Stom
Touch	Prok
Tower	Kul
Tower	Lug
Town	Utot
Track (trail)	Gajirm
Trap	Grack
Trap	Kurth
Trap	Lak
Trapdoor	Katraf
Tree	Dru
Tree	Laus
Trench	Hondok
Trench	Logor
Troll	Olog
Troll woman	Skessa
Trolley	Korroz
Tunnel	Lagam
Twist	Lakog
Twist	Pardrogat
Tyrant	Mundus
Ugly	Gajumat
Ugly	Shemator
Under	Nan
Under	Nen
Under (prefix)	Lata
Undergrowth	Karth[i]
Undergrowth	Safaka
Underneath	Poshat
Up	Nalt
Upland	Boshok
Upon	Mubi
Vale	Lugaun
Valley	Gropor
Vampire	Kukudat
Vampire	Lugat
Vast	Pamas
Vat	Taun
Vegetable	Baraushat
Vegetable	Zarzavat
Venom	Farmak
Venom	Varazadi
Vent	Fut
Very	Shum
Vessel	Mubajat
Victor	Mundas
View	Pamaj
Vile	Nudit
Village	Fashat
Village	Katund
Violate	Conog
Violet	Manushak
Viscera	Hosh
Voice	Mog
Voice	Za
Volley	Batar
Vulture	Gajup
Vulture	Hut
Wagon	Krogor
Wail	Ulurijat
Wall	Kuthaus >War	Lufut
War	Strigz
Warfare	Lufutaum
Warlord	Zotan-lufutatar
Warm	Nagrofut
Watch	Rujat
Water	Jut
Waterfall	Ujavar
Wave	Dalg
Wave	Val
Wax	Dul
Way	Rrug
Way	Udh
Weak	Dobat
Wear	Mubaj
Wear	Vosh
Weather	Mot
Web	Korg
Wedge	Pik
Well	Pus
West	Porandaum
Wet	Lagat
Wheel	Rukul
Where	Amal
Whip	Shufar
Whip	Thupar
Whirlpool	Varulatog
White	Bardh
Whore	Kurv
Wicked	Laug
Wickerwork	Garshota
Wide	Gujan
Wield	Gazog
Wild	Ogar
Willow	Sholg
Win	Fitog
Wind (noun)	Ora
Wind (verb)	Poshatil
Wine	Gavik
Wing	Flatar
Winner	Fitus
Winter	Darman
Wire	Tol
Witch	Shatraug
With (prefix)	Sha
Wolf	Scara
Wolf	Ujak
Woman	Gru
Wood	Dru
Wood	Pul
Wooden	Drunujit
Wool	Losh
World	Bot
Worm	Dhomaj
Worm	Krumab
Worst	Illa
Wraith	Ankath
Wraith	Gul
Wrestle	Glima
Wrestle	Parfutag
Wright	Nudrokas
Year	Vaut
Yellow	Gul
Yellow	Vordog
Yew	Barshenat
Yoke	Zagirat
You	Lat
